"Â ","Asiel","Arbeid","Gezin","Studie"
"1999 ","16705","11035","34530","6135"
"2000 ","24215","11495","38540","6880"
"2001","23020","11820","40030","8700"
"2002 ","16440","10755","39380","10380"
"2003","7170","10360","36655","10080"
"2004 ","3310","11035","30490","10260"
"2005 ","2400","9975","28915","10895"
"2006","2105","12320","29490","12115"
"2007 ","3760","16745","32560","12470"
"2008","6905","22305","40150","15225"
"2009","8640","18880","41420","16465"
"2010 ","7490","20450","43130","18545"
"2011","6640","23065","45185","20200"
"2012 ","4985","22415","44445","21085"
"2013 ","6340","24595","47545","19500"
"2014 ","14225","30665","49580","18470"
"2015 ","26960","30540","51920","19805"